libnl-tiny1 - 2025.03.19~c0df580a-r1
libopenssl3 - 3.0.18-r1
libpam - 1.5.2-r1
libparted - 3.6-r1
libpcap1 - 1.10.5-r2
libpci - 3.14.0-r1
libpcre2 - 10.42-r1
libpopt0 - 1.19-r1
libpthread - 1.2.5-r4
libpython3-3.11 - 3.11.14-r1
libqmi - 1.34.0-r2
libqrtr-glib - 1.2.2-r3
libreadline8 - 8.2-r2
librt - 1.2.5-r4
libruby3.3 - 3.3.9-r1
libsmartcols1 - 2.40.2-r1
libsodium - 1.0.19-r1
libss2 - 1.47.0-r2
libstdcpp6 - 13.3.0-r4
libtasn1 - 4.19.0-r2
libtirpc - 1.3.4-r1
libubox20240329 - 2025.07.23~49056d17-r1
libubus-lua - 2025.10.17~60e04048-r1
libubus20250102 - 2025.10.17~60e04048-r1
libuci-lua - 2025.01.20~16ff0bad-r1
libuci20250120 - 2025.01.20~16ff0bad-r1
libuclient20201210 - 2024.10.22~88ae8f20-r1
libucode20230711 - 2025.07.18~3f64c808-r1
libudebug - 2025.08.24~edeb4d6d
libudev-zero - 1.0.3-r1
libudns - 0.4-r1
liburing - 2.7-r1
libusb-1.0-0 - 1.0.27-r1
libustream-mbedtls20201210 - 2024.07.28~99bd3d2b-r1
libuuid1 - 2.40.2-r1
libuv1 - 1.48.0-r1
libwebsockets-full - 4.3.3-r1
libxml2-16 - 2.14.5-r2
libxtables12 - 1.8.10-r1
libyaml - 0.2.5-r1
linkease - 1.7.5~aa64-r18
linkmount - 1.0.3~aa64-r7
logd - 2024.04.26~85f10530-r1
losetup - 2.40.2-r1
lsblk - 2.40.2-r1
lua - 5.1.5-r11
lua-neturl - 1.2.1-r4
luci-app-adguardhome - 26.108.56344~be2cecb
luci-app-advancedplus - 1.8.7-r23
luci-app-autoreboot - 26.218.43438~65032d3
luci-app-autoshell - 1.2.3-r2
luci-app-clouddrive2 - 1-r5
luci-app-cpufreq - 26.218.43438~65032d3
luci-app-diskman - 0.2.13-r5
luci-app-fan - 1.0.0-r3-r11
luci-app-filemanager - 26.337.67860~daf821a
luci-app-firewall - 26.337.67860~daf821a
luci-app-gecoosac - 2.2-r15
luci-app-hd-idle - 25.337.67860~daf821a
luci-app-istorex - 0.6.6-r5
luci-app-leigod-acc - 1-r15
luci-app-linkease - 2.1.70-r2-r4
luci-app-log-viewer - 1.5.0-r15
luci-app-mentohust - 1.1.1-r10
luci-app-minieap - 1.0-r10
luci-app-mmconfig - 0.1.0-r9
luci-app-modem - 1.4.4-r26
luci-app-modeminfo - 0.4.4-r14
luci-app-netspeedtest - 5.1.0-r16
luci-app-nettask - 1.5.2-r2
luci-app-oaf - 6.1.2-r18
luci-app-openclash - 0.47.097
luci-app-p910nd - 25.337.67860~daf821a
luci-app-package-manager - 26.352.67175~4e9cf84
luci-app-partexp - 1.3.2-r18
luci-app-passwall - 25.12.16-r1
luci-app-quickstart - 0.12.4-r1-r30
luci-app-samba4 - 26.336.56358~e6942c0
luci-app-ssr-plus - 190-r124
luci-app-store - 0.2.1-r1
luci-app-syscontrol - 26.338.22193~d542dd2
luci-app-ttl - 0.0.5-r10
luci-app-ttyd - 25.337.67860~daf821a
luci-app-turboacc - 26.338.22193~d542dd2
luci-app-upnp - 26.346.56596~92e50f1
luci-app-vlmcsd - 26.218.43438~65032d3
luci-app-wifischedule - 25.337.67860~daf821a
luci-app-wizard - 26.338.22193~d542dd2
luci-app-wrtbwmon - 2.0.13-r2
luci-app-zerotier - 26.218.43438~65032d3
luci-base - 26.337.67860~daf821a
luci-compat - 26.337.67860~daf821a
luci-i18n-base-zh-cn - 25.337.67860~daf821a
luci-i18n-filemanager-zh-cn - 25.337.67860~daf821a
luci-i18n-firewall-zh-cn - 25.337.67860~daf821a
luci-i18n-hd-idle-zh-cn - 25.337.67860~daf821a
luci-i18n-p910nd-zh-cn - 25.337.67860~daf821a
luci-i18n-ttyd-zh-cn - 25.337.67860~daf821a
luci-i18n-wifischedule-zh-cn - 25.337.67860~daf821a
luci-lib-base - 26.337.67860~daf821a
luci-lib-fs - 1.0-r5
luci-lib-ip - 26.337.67860~daf821a
luci-lib-jsonc - 26.337.67860~daf821a
luci-lib-nixio - 26.337.67860~daf821a
luci-lib-taskd - 1.0.26
luci-lib-uqr - 26.337.67860~daf821a
luci-lib-xterm - 4.18.0-r2
luci-lua-runtime - 26.337.67860~daf821a
luci-mod-admin-full - 26.337.67860~daf821a
luci-mod-network - 26.337.67860~daf821a
luci-mod-status - 26.337.67860~daf821a
luci-mod-system - 26.337.67860~daf821a
luci-nginx - 25.337.67860~daf821a
luci-proto-3g - 25.337.67860~daf821a
luci-proto-ipv6 - 26.337.67860~daf821a
luci-proto-minieap - 2.1-r5
luci-proto-modemmanager - 25.337.67860~daf821a
luci-proto-ppp - 26.337.67860~daf821a
luci-proto-qmi - 25.337.67860~daf821a
luci-proto-wireguard - 26.337.67860~daf821a
luci-theme-argon - 2.4.3-r17
luci-theme-bootstrap - 26.337.67860~daf821a
mdadm - 4.3-r2
mentohust - 0.3.1-r7
microsocks - 1.0.5-r3
minieap - 0.93-r2
miniupnpd-nftables - 2.3.7-r8
mkf2fs - 1.16.0-r3
modeminfo - 0.4.4-r27
modemmanager - 1.22.0-r20
mosdns - 5.3.3-r82
mount-utils - 2.40.2-r1
mt7981-wo-firmware - 20241110-r2
mtd - 26
my-default-settings - 2-r32
nano - 8.7-r1
ndisc6 - 1.0.2-r1
netifd - 2025.05.23~7901e66c-r1
netspeedtest - 1-r1
nftables-json - 1.1.1-r1
nginx-mod-luci - 1.26.1-r2
nginx-mod-ubus - 1.26.1-r2
nginx-ssl - 1.26.1-r2
nginx-ssl-util - 1.7-r1
nping - 7.95-r1
ntfs3-mount - 4
odhcp6c - 2024.09.25~b6ae9ffa-r1
odhcpd-ipv6only - 2025.10.02~b14cf98c-r2
openssh-sftp-server - 9.9_p2-r1
opkg - 2024.10.16~38eccbb1-r1
p910nd - 0.97-r2
parted - 3.6-r1
pciids - 0.387-r1
pciutils - 3.14.0-r1
ppp - 2.5.1-r1
ppp-mod-pppoe - 2.5.1-r1
procd - 2024.12.22~42d39376-r1
procd-seccomp - 2024.12.22~42d39376-r1
python3-base - 3.11.14-r1
python3-codecs - 3.11.14-r1
python3-email - 3.11.14-r1
python3-light - 3.11.14-r1
python3-logging - 3.11.14-r1
python3-openssl - 3.11.14-r1
python3-pkg-resources - 80.9.0-r1
python3-urllib - 3.11.14-r1
python3-xml - 3.11.14-r1
quectel-cm - 1.6.7-r8
quickstart - 0.11.13-r33
r8152-firmware - 20241110-r2
rdisc6 - 1.0.2-r1
resize2fs - 1.47.0-r2
resolveip - 2
rpcd - 2025.09.01~bba95191-r1
rpcd-mod-file - 2025.09.01~bba95191-r1
rpcd-mod-iwinfo - 2025.09.01~bba95191-r1
rpcd-mod-luci - 20240305-r1
rpcd-mod-rrdns - 20170710
rpcd-mod-ucode - 2025.09.01~bba95191-r1
ruby - 3.3.9-r1
ruby-bigdecimal - 3.3.9-r1
ruby-date - 3.3.9-r1
ruby-digest - 3.3.9-r1
ruby-enc - 3.3.9-r1
ruby-pstore - 3.3.9-r1
ruby-psych - 3.3.9-r1
ruby-stringio - 3.3.9-r1
ruby-yaml - 3.3.9-r1
samba4-libs - 4.18.11-r1
samba4-server - 4.18.11-r1
script-utils - 2.40.2-r1
shadow-common - 4.8.1-r3
shadow-useradd - 4.8.1-r3
shadow-utils - 4.8.1-r3
shadowsocks-libev-ss-local - 3.3.5-r7
shadowsocks-libev-ss-redir - 3.3.5-r7
shadowsocks-libev-ss-server - 3.3.5-r7
shadowsocks-rust-sslocal - 1.24.0-r14
shadowsocks-rust-ssserver - 1.24.0-r14
shadowsocksr-libev-ssr-check - 2.5.6-r6
shadowsocksr-libev-ssr-local - 2.5.6-r6
shadowsocksr-libev-ssr-redir - 2.5.6-r6
shellsync - 0.2-r2
simple-obfs-client - 0.0.5-r4
sing-box - 1.12.13-r37
smartd - 7.4-r1
smartmontools - 7.4-r1
sms-tool - 2023.09.21~1b6ca032-r1
speedtest-cli - 2.1.3-r5
swconfig - 12
tar - 1.35-r1
taskd - 1.0.3-r3
tc-full - 6.11.0-r1
tcping - 0.3-r5
terminfo - 6.4-r2
trojan-plus - 10.0.3-r7
ttyd - 1.7.3-r1
ua2f - 4.10.2-r8
ubi-utils - 2.2.1-r1
uboot-envtools - 2024.07-r1
ubox - 2024.04.26~85f10530-r1
ubus - 2025.10.17~60e04048-r1
ubusd - 2025.10.17~60e04048-r1
uci - 2025.01.20~16ff0bad-r1
uclient-fetch - 2024.10.22~88ae8f20-r1
ucode - 2025.07.18~3f64c808-r1
ucode-mod-fs - 2025.07.18~3f64c808-r1
ucode-mod-html - 1
ucode-mod-lua - 1
ucode-mod-math - 2025.07.18~3f64c808-r1
ucode-mod-nl80211 - 2025.07.18~3f64c808-r1
ucode-mod-rtnl - 2025.07.18~3f64c808-r1
ucode-mod-ubus - 2025.07.18~3f64c808-r1
ucode-mod-uci - 2025.07.18~3f64c808-r1
ucode-mod-uloop - 2025.07.18~3f64c808-r1
unzip - 6.0-r8
uqmi - 2025.07.30~7914da43-r2
urandom-seed - 3
urngd - 2023.11.01~44365eb1-r1
usb-modeswitch - 2022.02.24~3c8595a4-r1
usbids - 0.387-r1
usbutils - 017-r1
uwsgi - 2.0.26-r1
uwsgi-cgi-plugin - 2.0.26-r1
uwsgi-luci-support - 2.0.26-r1
uwsgi-syslog-plugin - 2.0.26-r1
v2ray-plugin - 5.41.0-r10
vlmcsd - 2020.03.30~70e03572-r10
wget-ssl - 1.24.5-r1
wifi-scripts - 1.0-r1
wifischedule - 1.1.0-r0
wireguard-tools - 1.0.20210914-r4
wireless-regdb - 2025.07.10-r1
wpad-basic-mbedtls - 2024.09.15~5ace39b0-r2
wrtbwmon - 1.2.1-r3
wsdd2 - 2023.12.21~b676d8ac-r2
wwan - 2019.04.29-r6
xray-core - 25.12.8-r35
xtables-nft - 1.8.10-r1
xz - 5.6.2-r2
xz-utils - 5.6.2-r2
zerotier - 1.14.1-r3
zlib - 1.3.1-r1
zram-swap - 32
